     主目标       次目标    联合包络球半径（km）             接近开始时刻(UTC)             接近结束时刻(UTC)    接近时长(s)             最短椭距时刻(UTC)    最短椭距(km)                 接近时刻(UTC)    相对距离(km)    径向距离(km)    横向距离(km)    法相距离(km)    接近夹角(deg)    相对速度(km/s)    接近期间最小相对速度(km/s)    碰撞概率(Chan)    碰撞概率(Alfano)    碰撞概率(Patera)    最大碰撞概率    碰撞概率(马氏距离)    冲淡概率阈值(km)
    Mother3    Debris267                   0.002    2030-11-14 10:56:39.228991    2030-11-14 11:03:39.699033     420.470041    2030-11-14 11:00:13.363814       13.848814    2030-11-14 11:00:13.363814       13.848814       -5.372008       12.165049       -3.865586         0.879223          0.122844                      0.120779       4.479016e-9         4.479019e-9         4.482233e-9     1.452992e-8           4.482233e-9            5.171008
    Mother3     Debris22                   0.002    2030-11-14 15:31:14.735783    2030-11-14 15:37:57.649005     402.913222    2030-11-14 15:34:39.161752       15.387355    2030-11-14 15:34:39.161752       15.387355       -5.026215       14.227311       -3.015212         0.902368          0.124226                      0.122894       4.407142e-9         4.407145e-9         4.410614e-9     1.197052e-8           4.410614e-9            5.649032
    Mother3    Debris220                   0.002    2030-11-14 12:10:47.241827    2030-11-14 12:15:43.216738     295.974911    2030-11-14 12:13:14.890670       20.769386    2030-11-14 12:13:14.890670       20.769386       -7.583285      -18.793735       -4.544963         1.038455          0.143977                      0.143949       3.740161e-9         3.740164e-9         3.744629e-9     6.478437e-9           3.744629e-9            7.694105
    Mother3    Debris320                   0.002    2030-11-14 19:54:20.381097    2030-11-14 19:56:47.583547     147.202449    2030-11-14 19:55:33.991976       13.443729    2030-11-14 19:55:33.991976       13.443729       -0.360382      -10.473486        8.420811         2.796269          0.365239                      0.365175       3.983046e-9         3.983049e-9         3.983361e-9     1.609798e-8           3.983361e-9            4.807949
    Mother3    Debris135                   0.002    2030-11-15 03:06:30.747299    2030-11-15 03:06:58.251848      27.504548    2030-11-15 03:06:44.502687       21.100126    2030-11-15 03:06:44.502687       21.100126       13.950146       15.204238        4.409072         7.591372          1.544474                      1.544125       3.957965e-9         3.957968e-9         3.958007e-9     4.682584e-9           3.958007e-9           10.423824
    Mother3     Debris13                   0.002    2030-11-14 00:05:58.677871    2030-11-14 00:06:29.130480      30.452609    2030-11-14 00:06:13.902260       16.312335    2030-11-14 00:06:13.902260       16.312335       -9.778893      -12.813383       -2.506543         8.878099          1.648018                      1.647789       4.876745e-9         4.876749e-9         4.876772e-9     8.433762e-9           4.876772e-9            7.563336
    Mother3     Debris94                   0.002    2030-11-15 07:25:28.580096    2030-11-15 07:25:33.981429       5.401333    2030-11-15 07:25:31.280742       29.485093    2030-11-15 07:25:31.280742       29.485093       -1.674767       28.758009        6.288305        14.946136          2.048979                      2.048978       2.688039e-9         2.688041e-9         2.688072e-9     3.310081e-9           2.688072e-9           10.661289
    Mother3    Debris134                   0.002    2030-11-15 04:48:34.524567    2030-11-15 04:48:59.060051      24.535484    2030-11-15 04:48:46.792790       14.762125    2030-11-15 04:48:46.792790       14.762125       -0.110046      -12.894688       -7.185769        16.750504          2.128847                      2.128843       4.022071e-9         4.022074e-9         4.022081e-9     1.325289e-8           4.022081e-9            5.318529
    Mother3    Debris110                   0.002    2030-11-14 14:53:27.274094    2030-11-14 14:53:31.292361       4.018267    2030-11-14 14:53:29.283227       11.886498    2030-11-14 14:53:29.283227       11.886498       -0.131444       -0.018193      -11.885757       158.522459         13.718173                     13.718126       1.138853e-8         1.138854e-8         1.138853e-8     1.688704e-8           1.138853e-8            5.183742
    Mother3    Debris209                   0.002    2030-11-14 14:54:31.557240    2030-11-14 14:54:33.330555       1.773315    2030-11-14 14:54:32.443898       27.333119    2030-11-14 14:54:32.443898       27.333119       16.652038        2.754833        -21.4993       158.997013          13.95467                     13.954663      7.627062e-10        7.627070e-10        7.627064e-10     3.217789e-9          7.627064e-10           11.830526
    Mother3    Debris345                   0.002    2030-11-14 14:54:36.045553    2030-11-14 14:54:39.750327       3.704773    2030-11-14 14:54:37.897938       15.104721    2030-11-14 14:54:37.897938       15.104721      -13.569982       -2.164755        6.270728       158.565708         14.001474                     14.001415       4.250352e-9         4.250355e-9         4.250352e-9     1.046568e-8           4.250352e-9            6.582194
    Mother3    Debris164                   0.002    2030-11-14 14:10:16.816711    2030-11-14 14:10:19.669990        2.85328    2030-11-14 14:10:18.243351       21.720439    2030-11-14 14:10:18.243351       21.720439       -9.376655        1.680817       19.520007       159.531452         14.513715                     14.513673       3.445336e-9         3.445339e-9         3.445336e-9     5.138011e-9           3.445336e-9            9.276591
    Mother3     Debris62                   0.002    2030-11-14 14:10:30.133039    2030-11-14 14:10:33.558328       3.425289    2030-11-14 14:10:31.845685       16.350576    2030-11-14 14:10:31.845685       16.350576       -12.95537        2.453543       -9.668499       160.972544         14.693923                     14.693861       3.892828e-9         3.892831e-9         3.892828e-9     9.268854e-9           3.892828e-9            6.865809
