DebrisID,Mother,TimeSeconds,UTC,Distance_m,RelativeSpeed_mps
159,1,46242,2030-11-14 20:50:42,29973.8362664953,91.0205633702725
295,2,46800,2030-11-14 21:00:00,21902.5688686949,120.269534951543
119,3,49279,2030-11-14 21:41:19,29956.2852378215,63.4565900028889
225,1,50100,2030-11-14 21:55:00,24634.0407665136,66.1065255657827
181,2,50284,2030-11-14 21:58:04,29949.1258447478,99.3420218826971
180,2,50959,2030-11-14 22:09:19,29966.843453628,120.256324097477
299,3,53371,2030-11-14 22:49:31,29934.2343847475,111.944310078043
230,1,55253,2030-11-14 23:20:53,29976.2331649477,73.5291273359262
89,3,55348,2030-11-14 23:22:28,29977.6169435164,132.750005601409
204,3,55375,2030-11-14 23:22:55,29921.2695410372,89.6931037867749
141,3,55414,2030-11-14 23:23:34,29921.4939106021,104.472461909044
127,2,55434,2030-11-14 23:23:54,29971.3318902951,93.0616270995771
29,1,56105,2030-11-14 23:35:05,29997.3757915637,96.3846378947699
112,1,56133,2030-11-14 23:35:33,29932.3608890333,125.885269795884
223,2,56919,2030-11-14 23:48:39,29985.3195216204,113.373207627617
137,1,61270,2030-11-15 01:01:10,29948.1168681271,74.0078795479647
20,3,61447,2030-11-15 01:04:07,29978.6966136872,119.456425527705
24,3,61495,2030-11-15 01:04:55,29909.7272491841,130.034301422631
58,3,61633,2030-11-15 01:07:13,29920.2709932496,144.884997867454
99,3,61706,2030-11-15 01:08:26,29971.656202207,139.0959273114
277,3,61867,2030-11-15 01:11:07,29999.8798602042,63.0734639682698
259,1,62099,2030-11-15 01:14:59,29989.4637534074,123.71848080856
118,1,62422,2030-11-15 01:20:22,29998.1995118239,75.3896790903426
177,2,62725,2030-11-15 01:25:25,29943.0085972293,102.664333660706
308,2,62845,2030-11-15 01:27:25,29994.7218423226,146.424179487601
44,2,66610,2030-11-15 02:30:10,29970.1312136809,107.482545269507
97,2,66761,2030-11-15 02:32:41,29980.8335531795,99.9687300376453
109,3,67096,2030-11-15 02:38:16,29979.1243837857,30.5326657117138
92,3,67247,2030-11-15 02:40:47,29930.5869356771,124.874951567251
193,3,67369,2030-11-15 02:42:49,29901.1726836136,112.656292582399
208,1,67473,2030-11-15 02:44:33,29988.4394817913,71.8227712544601
257,3,67627,2030-11-15 02:47:07,29993.5746767269,121.67995720824
197,1,67730,2030-11-15 02:48:50,29940.7485765237,113.585879345836
128,1,67889,2030-11-15 02:51:29,29982.1590048824,76.1051886394725
115,1,67917,2030-11-15 02:51:57,29954.2066673097,85.2671666011845
143,1,68140,2030-11-15 02:55:40,29944.5824461695,118.117258505328
65,2,68951,2030-11-15 03:09:11,29984.7539385185,46.1326405110215
210,1,71100,2030-11-15 03:45:00,19937.5188705084,121.214738142559
214,1,71507,2030-11-15 03:51:47,29984.9831425355,26.5756339970186
154,1,71839,2030-11-15 03:57:19,29966.8716040995,66.0966831417303
241,2,72676,2030-11-15 04:11:16,27107.0132043105,149.991683764597
190,2,72698,2030-11-15 04:11:38,29993.7286542329,36.4913275667917
84,2,73086,2030-11-15 04:18:06,29972.1151861064,134.742775150294
107,2,73462,2030-11-15 04:24:22,29978.8879737468,108.918923185619
131,3,73797,2030-11-15 04:29:57,29997.9632429183,145.834632746673
85,3,73887,2030-11-15 04:31:27,29958.305191457,71.9884260401366
339,3,73967,2030-11-15 04:32:47,29983.3024459101,68.3920637561212
309,3,74623,2030-11-15 04:43:43,29955.7307589184,89.2833310336802
188,1,76404,2030-11-15 05:13:24,29983.6645851021,55.2033416740321
261,1,76495,2030-11-15 05:14:55,29970.9070331342,48.7551828905384
298,1,76996,2030-11-15 05:23:16,29998.7860369101,37.0031388695506
8,1,77697,2030-11-15 05:34:57,29993.7358294569,139.47227607888
47,2,78781,2030-11-15 05:53:01,29945.7821047756,101.79544553335
86,2,79130,2030-11-15 05:58:50,29939.9320358917,111.820177766315
343,3,79940,2030-11-15 06:12:20,29999.0849657048,65.3220858349032
10,3,81310,2030-11-15 06:35:10,29981.2082445942,117.465264266221
248,2,82428,2030-11-15 06:53:48,29930.8464648812,128.344420115758
60,1,82749,2030-11-15 06:59:09,29978.3664921796,36.2591508389066
302,1,84334,2030-11-15 07:25:34,29986.6785423655,123.535480428996
173,2,85723,2030-11-15 07:48:43,29930.8227692868,109.805335341903
162,3,86072,2030-11-15 07:54:32,29316.6464668654,149.993537067884
322,3,86253,2030-11-15 07:57:33,29951.4808542357,106.657329175591
