DebrisID,Mother,TimeSeconds,UTC,Distance_m,RelativeSpeed_mps
295,2,46800,2030-11-14 21:00:00,21902.5718254723,120.269528193156
119,3,49278,2030-11-14 21:41:18,29993.7247935811,63.4828033721869
225,1,50100,2030-11-14 21:55:00,24634.0347437311,66.1065271336469
181,2,50283,2030-11-14 21:58:03,29917.2709040061,99.4008023714927
180,2,50957,2030-11-14 22:09:17,29935.7051079958,120.146908972748
299,3,53369,2030-11-14 22:49:29,29967.8685606444,111.893030140873
230,1,55255,2030-11-14 23:20:55,29931.1737413878,73.2788908307084
89,3,55348,2030-11-14 23:22:28,29901.9917253728,132.901505992885
204,3,55373,2030-11-14 23:22:53,29961.2113079657,89.7011564437434
141,3,55414,2030-11-14 23:23:34,29948.9870042725,104.708131772832
127,2,55440,2030-11-14 23:24:00,29967.9607306261,92.9115608225445
29,1,56109,2030-11-14 23:35:09,29958.7985594899,96.7162598308667
112,1,56136,2030-11-14 23:35:36,29941.5747508801,125.95904608446
223,2,56927,2030-11-14 23:48:47,29990.8314589315,113.97313414101
137,1,61276,2030-11-15 01:01:16,29948.1719763404,74.099292157585
20,3,61450,2030-11-15 01:04:10,29938.3849850488,119.865003008947
24,3,61497,2030-11-15 01:04:57,29925.7903162176,130.493686936299
58,3,61630,2030-11-15 01:07:10,29951.8627342139,145.175491730787
99,3,61702,2030-11-15 01:08:22,29963.4456514544,138.69575946633
277,3,61875,2030-11-15 01:11:15,29983.7952733161,63.4637813056959
259,1,62095,2030-11-15 01:14:55,29999.4820656563,123.229507740853
118,1,62430,2030-11-15 01:20:30,29950.4617678367,76.0204620435664
177,2,62731,2030-11-15 01:25:31,29980.8447741069,103.144062981642
308,2,62850,2030-11-15 01:27:30,29939.6140211519,147.051597823703
44,2,66610,2030-11-15 02:30:10,29972.4234576307,107.483088503893
97,2,66761,2030-11-15 02:32:41,29980.2910868608,99.9634963073757
109,3,67110,2030-11-15 02:38:30,29986.8896496073,31.0235124876558
92,3,67250,2030-11-15 02:40:50,29901.1271340146,124.336284416472
193,3,67364,2030-11-15 02:42:44,29969.1587935585,112.621084899462
208,1,67478,2030-11-15 02:44:38,29936.7210047406,70.9779342064113
257,3,67616,2030-11-15 02:46:56,29999.9116327141,122.307821193896
197,1,67732,2030-11-15 02:48:52,29986.148142297,114.152947940543
128,1,67895,2030-11-15 02:51:35,29951.3117705475,76.5184213738673
115,1,67914,2030-11-15 02:51:54,29961.5277047801,84.5591881275251
143,1,68142,2030-11-15 02:55:42,29998.400789335,117.659281349981
65,2,68953,2030-11-15 03:09:13,29985.932312272,46.1286324077692
210,1,71100,2030-11-15 03:45:00,19940.1048020886,121.211472710745
214,1,71506,2030-11-15 03:51:46,29998.6871109657,26.6003017998375
154,1,71839,2030-11-15 03:57:19,29966.7673750552,66.0729171194993
241,2,72668,2030-11-15 04:11:08,26421.8138304602,149.990835710061
190,2,72701,2030-11-15 04:11:41,29970.6089556099,36.5338688384518
84,2,73088,2030-11-15 04:18:08,29969.7073131352,134.800066971061
107,2,73467,2030-11-15 04:24:27,29948.0673427264,109.231579492473
131,3,73797,2030-11-15 04:29:57,29989.3475413502,145.833707228053
85,3,73887,2030-11-15 04:31:27,29965.4056952093,72.0169426748396
339,3,73967,2030-11-15 04:32:47,29982.7000170279,68.4047366173941
309,3,74623,2030-11-15 04:43:43,29967.195602617,89.3096208918894
188,1,76402,2030-11-15 05:13:22,29978.9497908386,55.4544216252593
261,1,76498,2030-11-15 05:14:58,29951.7868559402,48.8585653040351
298,1,76983,2030-11-15 05:23:03,29987.5325071711,36.9579291464868
8,1,77696,2030-11-15 05:34:56,29993.3525910721,139.527416902053
47,2,78783,2030-11-15 05:53:03,29943.5334463336,101.212236506594
86,2,79131,2030-11-15 05:58:51,29944.8653520458,112.061381899687
343,3,79941,2030-11-15 06:12:21,29979.9843933341,65.2419659574335
10,3,81309,2030-11-15 06:35:09,29988.2303905006,117.523240567277
248,2,82430,2030-11-15 06:53:50,29978.5861784102,128.875029700939
60,1,82752,2030-11-15 06:59:12,29989.6277392494,35.8164690095288
302,1,84331,2030-11-15 07:25:31,29974.0037934163,123.611986966466
173,2,85728,2030-11-15 07:48:48,29919.5480019183,110.042308380152
162,3,86068,2030-11-15 07:54:28,29753.1652782164,149.998685771663
322,3,86254,2030-11-15 07:57:34,29962.9713153839,107.012521575096
